trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1003,False,"{'a': 0.5, 'e': 0.006554657266046825}",25,17,16.246429250049246,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.5, 'e': 0.006521883979716592}",20,10,13.83749745621445,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.5, 'e': 0.0064892745598180085}",20,12,12.985582802588517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 0.006456828187018918}",30,14,26.0012607125736,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.5, 'e': 0.006424544046083824}",25,7,33.34259239369731,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.5, 'e': 0.006392421325853405}",30,0,45.180053585438166,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1009,False,"{'a': 0.5, 'e': 0.006360459219224138}",25,19,10.90014664935321,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.006328656923128017}",20,2,27.787420486056856,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.5, 'e': 0.006297013638512376}",20,9,19.613613969945693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 0.006265528570319815}",20,5,25.01434277560917,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 0.006234200927468216}",20,12,13.64931149440675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1014,False,"{'a': 0.5, 'e': 0.006203029922830875}",25,12,24.391456572697308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 0.006172014773216721}",25,18,13.566113925042462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.006141154699350637}",25,13,18.59152995405241,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.006110448925853883}",25,12,27.447898038196854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.5, 'e': 0.0060798966812246145}",20,11,18.563452648589152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.5, 'e': 0.006049497197818491}",30,15,25.590060487260335,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 0.006019249711829398}",25,13,21.21819614182683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1021,False,"{'a': 0.5, 'e': 0.005989153463270252}",25,17,14.330964028825111,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.0059592076959539}",20,8,21.548710834823762,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 0.005929411657474131}",30,4,41.40856227426982,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.00589976459918676}",25,8,31.719774978460087,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.005870265776190826}",20,5,21.948050697705725,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.005840914447309872}",20,8,23.360578904940066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.005811709875073323}",20,16,8.096845206163614,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 0.005782651325697956}",30,10,35.81416536430827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.005753738069069466}",20,8,24.440563803051397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.005724969378724119}",30,8,39.53920471587706,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.005696344531830498}",20,13,15.752853897871535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.0056678628091713455}",25,13,24.253208161181334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.005639523495125489}",30,9,25.776570368416998,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.005611325877649861}",35,19,28.73698148347278,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.005583269248261612}",25,15,19.0982048277825,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.005555352902020304}",30,10,35.68985606783051,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1037,False,"{'a': 0.5, 'e': 0.005527576137510202}",30,14,30.571228531671196,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 0.005499938256822651}",20,10,17.92371643379758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.005472438565538538}",30,13,28.20716565836242,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.005445076372710846}",20,0,19.69492710217313,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1041,False,"{'a': 0.5, 'e': 0.0054178509908472915}",25,15,20.09291969472345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.5, 'e': 0.005390761735893055}",30,0,44.00706241690998,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1043,False,"{'a': 0.5, 'e': 0.00536380792721359}",20,6,22.00507716057623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.005336988887577521}",30,22,13.844351060265971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.5, 'e': 0.005310303943139634}",30,16,27.804394557212255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.005283752423423936}",20,15,11.603360791504375,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.005257333661306816}",25,11,19.82277253787979,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.0052310469930002814}",20,12,16.06106618267763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.5, 'e': 0.00520489175803528}",20,4,27.24337004141576,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.5, 'e': 0.005178867299245104}",25,19,11.636666589075823,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.5, 'e': 0.0051529729627488785}",20,13,15.360860578609163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.5, 'e': 0.005127208097935134}",25,11,26.954377469519606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.0051015720574454585}",30,21,16.709806072509974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.5, 'e': 0.005076064197158231}",25,7,27.38232376562372,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.5, 'e': 0.0050506838761724395}",25,15,14.889880788091585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.5, 'e': 0.005025430456791578}",25,13,24.556607191070835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.5, 'e': 0.00500030330450762}",30,0,47.29593337825035,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1058,False,"{'a': 0.5, 'e': 0.004975301787985081}",20,15,8.06948995149054,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.5, 'e': 0.004950425279045156}",25,13,23.97952621314619,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1060,False,"{'a': 0.5, 'e': 0.00492567315264993}",30,18,22.866314911124665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1061,False,"{'a': 0.5, 'e': 0.004901044786886681}",20,3,27.065000051933634,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1062,False,"{'a': 0.5, 'e': 0.004876539562952247}",35,18,31.898739869195396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.5, 'e': 0.004852156865137486}",25,8,27.854670165792143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1064,False,"{'a': 0.5, 'e': 0.004827896080811798}",25,11,25.038665419890567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.5, 'e': 0.004803756600407739}",20,16,7.61872897681492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.5, 'e': 0.0047797378174057005}",20,10,19.554424792958518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.5, 'e': 0.004755839128318672}",20,5,21.036740416267833,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.5, 'e': 0.004732059932677079}",35,22,22.469925199348438,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.5, 'e': 0.004708399633013694}",20,6,23.626866939786524,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.5, 'e': 0.004684857634848625}",25,17,16.325172801612645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.5, 'e': 0.0046614333466743815}",30,21,15.558782996793717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1072,False,"{'a': 0.5, 'e': 0.00463812617994101}",25,19,11.890800257438933,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.5, 'e': 0.004614935549041305}",25,9,31.83951960254979,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1074,False,"{'a': 0.5, 'e': 0.004591860871296098}",30,15,26.12595093974918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.5, 'e': 0.004568901566939618}",20,0,29.54370839549664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1076,False,"{'a': 0.5, 'e': 0.00454605705910492}",20,9,17.82483130964047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1077,False,"{'a': 0.5, 'e': 0.004523326773809395}",20,13,14.485356595496206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.5, 'e': 0.004500710139940348}",20,0,35.14654736685295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1079,False,"{'a': 0.5, 'e': 0.004478206589240646}",20,7,22.00451259582142,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.5, 'e': 0.004455815556294443}",20,13,13.446560125872178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.5, 'e': 0.004433536478512971}",25,16,18.57714299652664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.5, 'e': 0.004411368796120406}",20,13,15.373171427836619,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.5, 'e': 0.0043893119521398035}",30,21,15.61394905229864,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
